length,student2_time,student3_time,student1_time
5,1.2715657552083334e-05,1.3907750447591146e-05,1.2636184692382812e-05
6,2.0265579223632812e-05,1.9709269205729168e-05,1.9629796346028645e-05
7,2.5590260823567707e-05,2.4557113647460938e-05,2.47955322265625e-05
8,3.512700398763021e-05,3.4968058268229164e-05,3.4332275390625e-05
9,7.74065653483073e-05,7.565816243489583e-05,7.534027099609375e-05
10,0.00011078516642252605,0.00010879834493001302,0.00010959307352701823
