steps,student2_time,student3_time,student1_time
1,8.821487426757812e-06,9.298324584960938e-06,8.821487426757812e-06
2,1.7023086547851564e-05,1.7070770263671874e-05,1.654624938964844e-05
3,3.9713723318917414e-05,3.9270945957728797e-05,3.8760049002511164e-05
4,7.49826431274414e-05,7.343292236328125e-05,7.367134094238281e-05
5,0.0001079241434733073,0.00010546048482259114,0.00010625521341959636
